Car Model,Mileage,Sell Price($),Age(yrs)
Audi A5,106120,24133,6
Audi A5,66100,17860,5
BMW X5,13102,30862,1
Audi A5,23564,40638,2
Audi A5,64262,16730,5
BMW X5,65792,28309,5
Audi A5,109674,10000,9
BMW X5,13660,45325,1
BMW X5,176549,10000,10
Audi A5,13376,36044,1
Mercedez Benz C class,89553,10000,8
Audi A5,49284,22244,5
BMW X5,73780,10000,8
Mercedez Benz C class,68906,11557,4
Audi A5,95382,10000,10
BMW X5,11337,32323,1
Audi A5,65737,14871,7
Audi A5,118210,10000,8
Mercedez Benz C class,41860,12694,4
BMW X5,69052,10000,8
Audi A5,58705,12060,4
Audi A5,155462,10000,10
BMW X5,48650,24787,4
Mercedez Benz C class,133361,10000,10
Mercedez Benz C class,44387,35758,3
Mercedez Benz C class,122120,10000,8
Audi A5,48728,23347,4
BMW X5,51426,24702,3
Mercedez Benz C class,11184,43211,1
Mercedez Benz C class,52066,15779,6
Mercedez Benz C class,106626,10000,10
Mercedez Benz C class,121951,10000,9
Audi A5,84261,10000,10
Audi A5,61364,23664,4
Mercedez Benz C class,46993,32124,3
BMW X5,93552,10000,9
BMW X5,34504,33298,2
Mercedez Benz C class,53516,31623,3
BMW X5,62487,13240,6
Audi A5,11493,41205,1
Audi A5,133414,10000,10
Mercedez Benz C class,30946,28265,2
Mercedez Benz C class,31225,27826,3
Mercedez Benz C class,130366,10000,8
BMW X5,119102,10267,8
Mercedez Benz C class,57004,10000,7
BMW X5,72901,10000,6
BMW X5,18814,35034,2
BMW X5,85310,10000,5
Mercedez Benz C class,89691,10000,5
Mercedez Benz C class,32682,33884,3
Mercedez Benz C class,101794,12643,7
BMW X5,125874,10834,7
Mercedez Benz C class,32562,33252,4
Mercedez Benz C class,32948,21059,3
BMW X5,54673,18659,5
BMW X5,136898,10000,8
BMW X5,115227,10000,10
Audi A5,69223,23891,5
BMW X5,116458,10000,8
Mercedez Benz C class,126884,10000,10
BMW X5,38238,30555,3
Mercedez Benz C class,53734,26174,3
BMW X5,14711,38269,1
Audi A5,106345,10000,7
Mercedez Benz C class,15667,43535,1
Mercedez Benz C class,93898,10000,7
Mercedez Benz C class,20748,39623,2
BMW X5,37494,22606,3
BMW X5,14509,41524,1
Mercedez Benz C class,71404,24707,4
Audi A5,33739,27862,3
Mercedez Benz C class,32266,19080,4
BMW X5,92561,10000,8
Mercedez Benz C class,48984,26692,5
Mercedez Benz C class,34400,30689,4
Audi A5,127224,10000,10
Audi A5,136798,10000,8
Mercedez Benz C class,39947,25654,3
Audi A5,42076,18450,5
Mercedez Benz C class,93795,10000,7
BMW X5,117110,12237,7
Mercedez Benz C class,16163,28496,2
Audi A5,68397,12702,4
Audi A5,13004,41384,1
Audi A5,98153,10000,10
BMW X5,106986,10000,9
Mercedez Benz C class,106205,10000,10
Mercedez Benz C class,140541,10000,8
BMW X5,117270,10000,8
Audi A5,79843,10757,6
BMW X5,115273,10000,8
BMW X5,105254,10000,8
Mercedez Benz C class,81330,10000,9
BMW X5,92444,11408,7
Mercedez Benz C class,90903,10000,6
BMW X5,25384,26145,3
Mercedez Benz C class,56050,14430,7
Audi A5,10956,35730,1
Audi A5,27893,35300,2
BMW X5,36242,29092,3
BMW X5,36399,21627,4
Mercedez Benz C class,24455,27386,3
Mercedez Benz C class,33215,17594,4
BMW X5,63826,16705,4
Mercedez Benz C class,167928,10000,10
BMW X5,21835,34778,2
BMW X5,34408,30459,3
Mercedez Benz C class,95052,10000,10
BMW X5,102345,10000,9
Mercedez Benz C class,84735,13655,7
BMW X5,29916,35825,2
Mercedez Benz C class,71100,15508,7
Audi A5,13077,33088,1
Audi A5,142841,10000,10
BMW X5,45335,22075,5
BMW X5,87590,22107,5
Audi A5,104679,10000,8
Mercedez Benz C class,102220,10000,7
Mercedez Benz C class,40992,11434,5
Audi A5,125532,10000,10
BMW X5,159367,10000,10
BMW X5,35499,38695,2
Mercedez Benz C class,31239,35501,3
Audi A5,102495,15281,6
Mercedez Benz C class,106568,10000,6
BMW X5,76201,20195,5
Audi A5,55490,15163,4
Mercedez Benz C class,129372,10000,8
Audi A5,40818,27519,3
Audi A5,71947,10000,6
Mercedez Benz C class,105838,10000,7
Mercedez Benz C class,11975,32600,1
BMW X5,58371,23322,4
Mercedez Benz C class,54266,10351,6
BMW X5,100837,11226,8
Audi A5,43925,26699,3
BMW X5,80079,11089,7
Audi A5,15007,35572,1
Audi A5,47271,24536,3
Mercedez Benz C class,160931,10000,9
Audi A5,16933,37077,2
BMW X5,26156,30918,3
BMW X5,45996,32460,3
BMW X5,13657,42657,1
Mercedez Benz C class,10004,40709,1
Audi A5,14115,38125,1
BMW X5,23544,37286,2
BMW X5,14363,40074,1
Mercedez Benz C class,90292,10000,7
Audi A5,79760,19730,6
Mercedez Benz C class,80314,10000,7
Mercedez Benz C class,38443,25843,4
Mercedez Benz C class,83439,10000,8
Mercedez Benz C class,17814,30859,1
Audi A5,157317,10000,9
Audi A5,18537,29393,2
Mercedez Benz C class,134371,10000,10
Mercedez Benz C class,110791,13685,8
Mercedez Benz C class,64572,24473,4
BMW X5,130128,10000,10
Audi A5,15996,37227,1
BMW X5,152442,10000,10
Audi A5,84857,10000,9
BMW X5,50916,19705,6
Mercedez Benz C class,105013,10000,8
BMW X5,53633,26558,3
BMW X5,73221,17068,7
BMW X5,108591,10107,7
BMW X5,11241,34354,1
Mercedez Benz C class,158373,10000,9
Audi A5,105661,10000,9
Audi A5,114594,10000,9
BMW X5,59858,14009,4
Audi A5,110929,10000,8
Audi A5,12129,30367,1
Mercedez Benz C class,43784,29017,4
Audi A5,79634,13853,9
Audi A5,49768,12402,6
Mercedez Benz C class,27056,32203,3
BMW X5,68030,10000,6
Mercedez Benz C class,57580,21509,5
Audi A5,109830,10000,7
Mercedez Benz C class,9521,41281,1
Mercedez Benz C class,45379,26479,3
BMW X5,157116,10000,10
BMW X5,130428,10000,8
Mercedez Benz C class,84495,10000,10
Mercedez Benz C class,49305,23389,3
BMW X5,70639,13487,4
